question_id,subject,domain,difficulty,question,choice_A,choice_B,choice_C,choice_D,answer_index,answer_letter
q0000,elementary_mathematics,STEM,easy,"Kerri ran the same distance in four different races. Her times were 18.04 seconds, 21.39 seconds, 12.99 seconds, and 14.14 seconds. If the individual times are rounded to the nearest one-tenth of a second, what is the estimate of Kerri's total time for all four races?",66.6 seconds,66.5 seconds,66 seconds,65.5 seconds,1,B
q0001,high_school_biology,STEM,easy,The structure of ATP synthase in the plasma membranes of bacteria is nearly identical to that in the mitochondria and chloroplasts of eukaryotic cells. This similarity best supports which of the following hypotheses?,Eukaryotic and prokaryotic cells share a common ancestor.,"Mitochondria are derived from ancient aerobic bacteria, and chloroplasts are derived from ancient photosynthetic bacteria.","The similarity of ATP synthase in bacteria, mitochondria, and chloroplasts is an example of convergent evolution.",Mitochondria and chloroplasts escaped from eukaryotic cells and formed aerobic and photosynthetic prokaryotes.,1,B
q0002,conceptual_physics,STEM,easy,A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,1,B
q0003,high_school_biology,STEM,easy,"Once a plasmid has incorporated specific genes, such as the gene coding for the antibiotic ampicillin, into its genome, the plasmid may be cloned by",inserting it into a virus to generate multiple copies,treating it with a restriction enzyme in order to cut the molecule into small pieces,inserting it into a suitable bacterium in order to produce multiple copies,running it on a gel electrophoresis in order to determine the size of the gene of interest,2,C
q0004,elementary_mathematics,STEM,easy,What is the least common multiple of 4 and 10?,14,20,40,60,1,B
q0005,conceptual_physics,STEM,easy,"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,3,D
q0006,conceptual_physics,STEM,easy,"In his special theory of relativity, Einstein stated that the laws of physics are",different in different situations.,common sense applied to microscopic and macroscopic things.,the same in all frames of reference.,the same in all uniformly moving frames of reference.,3,D
q0007,conceptual_physics,STEM,easy,Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,3,D
q0008,elementary_mathematics,STEM,easy,You walked your dog 7 over 9 mi in the morning and 5 over 12 mi in the afternoon. How much farther did you walk your dog in the morning than in the afternoon?,13 over 36,12 over 21,2 over 3,35 over 108,0,A
q0009,high_school_biology,STEM,easy,Charles Darwin was the first person to propose,that evolution occurs.,a mechanism for how evolution occurs.,that the Earth is older than a few thousand years.,a mechanism for evolution that was supported by evidence.,3,D
q0010,conceptual_physics,STEM,easy,The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,3,D
q0011,elementary_mathematics,STEM,easy,What is 0.3 × 427?,0.1281,1.281,12.81,128.1,3,D
q0012,elementary_mathematics,STEM,easy,Which expression is equivalent to 5(4x + 3) — 2x?,18x+15,18x+3,7x+8,2x+8,0,A
q0013,elementary_mathematics,STEM,easy,Ms. Carter has 30 students in her classroom. She arranges them into 5 equal groups. Which expression represents how to find the number of students in each group?,30+5,30/5,30-5,30x5,1,B
q0014,conceptual_physics,STEM,easy,"During the time an aircraft produces a sonic boom, the aircraft is",breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,All of these,2,C
q0015,elementary_mathematics,STEM,easy,You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,1,B
q0016,elementary_mathematics,STEM,easy,Evaluate −7(y − 6) for y = 8.,−14,50,−13,−62,0,A
q0017,conceptual_physics,STEM,easy,Thermal conduction involves mainly,electrons,protons,neutrons,ions,0,A
q0018,high_school_biology,STEM,easy,Two unrelated species evolve in a way that makes them more similar.,Divergent evolution,Convergent evolution,Parallel evolution,Coevolution,1,B
q0019,conceptual_physics,STEM,easy,Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,2,C
q0020,college_biology,STEM,medium,Hardy-Weinberg equilibrium generally assumes all of the following EXCEPT,a large population,genetic drift,random mating,absence of selection,1,B
