config_version,max_output_tokens,temperature,bank_source,question_id,subject,domain,difficulty,model_id,backend,model_name,trial_index,collection_timestamp,predicted_letter,correct_letter,is_correct,confidence,parse_ok,internal_prob_answer,internal_prob_note,call_cost_usd,input_tokens,output_tokens
v2,1024,0.3,original_180,q0000,elementary_mathematics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,0,2026-07-16T17:58:12.200713+00:00,B,B,True,99,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.001168,188,196
v2,1024,0.3,original_180,q0000,elementary_mathematics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,1,2026-07-16T17:58:14.789265+00:00,B,B,True,99,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.001168,188,196
v2,1024,0.3,original_180,q0000,elementary_mathematics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,2,2026-07-16T17:58:17.150645+00:00,B,B,True,99,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000818,188,126
v2,1024,0.3,original_180,q0000,elementary_mathematics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,3,2026-07-16T17:58:19.778712+00:00,B,B,True,99,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000818,188,126
v2,1024,0.3,original_180,q0000,elementary_mathematics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,4,2026-07-16T17:58:21.832184+00:00,B,B,True,99,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000813,188,125
v2,1024,0.3,original_180,q0001,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,0,2026-07-16T17:58:27.156688+00:00,B,B,True,92,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.00209,230,372
v2,1024,0.3,original_180,q0001,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,1,2026-07-16T17:58:32.158851+00:00,B,B,True,92,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.0021300000000000004,230,380
v2,1024,0.3,original_180,q0001,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,2,2026-07-16T17:58:36.932808+00:00,B,B,True,92,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.002055,230,365
v2,1024,0.3,original_180,q0001,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,3,2026-07-16T17:58:42.324101+00:00,B,B,True,92,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.00216,230,386
v2,1024,0.3,original_180,q0001,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,4,2026-07-16T17:58:47.328003+00:00,B,B,True,92,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.0021850000000000003,230,391
v2,1024,0.3,original_180,q0002,conceptual_physics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,0,2026-07-16T17:58:50.980455+00:00,B,B,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.00144,110,266
v2,1024,0.3,original_180,q0002,conceptual_physics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,1,2026-07-16T17:58:52.752156+00:00,B,B,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000175,110,13
v2,1024,0.3,original_180,q0002,conceptual_physics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,2,2026-07-16T17:58:54.523907+00:00,B,B,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000175,110,13
v2,1024,0.3,original_180,q0002,conceptual_physics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,3,2026-07-16T17:58:56.372812+00:00,B,B,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000175,110,13
v2,1024,0.3,original_180,q0002,conceptual_physics,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,4,2026-07-16T17:59:00.291753+00:00,B,B,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.00141,110,260
v2,1024,0.3,original_180,q0003,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,0,2026-07-16T17:59:02.489348+00:00,C,C,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000252,187,13
v2,1024,0.3,original_180,q0003,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,1,2026-07-16T17:59:04.131612+00:00,C,C,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000252,187,13
v2,1024,0.3,original_180,q0003,high_school_biology,STEM,easy,claude_haiku,anthropic,claude-haiku-4-5-20251001,2,2026-07-16T17:59:06.138680+00:00,C,C,True,95,True,,"Anthropic's public API does not expose token-level log probabilities as of this implementation; Claude is excluded from internal-probability comparison analyses by design, not by data availability failure. | parse_attempts=1/3",0.000252,187,13
